NPC Name:|Endless||||
ID|English|French|German|Spanish|Italian
Quit1|Goodbye.||||
Quit2|Farewell.||||
Quit3|I must be off.||||
Quit4|Good day to you.||||
Quit5|Nevermind.||||
Quit6|I should be going.||||
Quit7|Sorry to bother you.||||
Quit8|Understood.||||
Quit9|I see...||||
Quit10|Carry on.||||
Quit11|Long live the King.||||
Quit12|Shut up.||||
Quit13|[Leave them alone.]||||
SqWheelA1|<<Three patrons huddle round the table, nursing hot mugs and discussing a news-sheet with hushed voices.>>##You see? It says she's from [[Alskop,]] but none of us remember any village by that name. I'm telling you, they've erased the whole –||||
SqWheelA2|<<They notice you listening.>>##Oh, er, King's blessing, citizen! Don't mind us, we're just absorbing the latest Royal Dispatch. Good to know the [[Guild]] has it all in hand, eh?||||
SqWheelB1|<<Three patrons huddle round the table, nursing hot mugs and discussing a news-sheet with hushed voices.>>##Of ((course)) there's nothin' about the summonin' outage. The [[Machinists]] would never admit that the [[Saboteur]] bloodied their noses like that –||||
SqWheelB2|<<They notice you listening.>>##Oh, er, King's favour, pal. Just a few old farts enjoyin' our weekly ration. Every day I thank my stars I live here and nowhere else.||||
SqWheelC1|<<Three patrons huddle round the table, nursing hot mugs and discussing a news-sheet with hushed voices.>>##Absolute bollocks. My cousin in [[Yansk,]] her daughter saw a [[Corrupt One]] in the forest just last week – it's spreading bloody everywhere –||||
SqWheelC2|<<They notice you listening.>>##Oh, er, King's grace, my dear! Isn't it nice to be safe and warm in [[Ferropolis]], where the [[Guild]] can look after us? No doubt the Corruption will be cleaned up soon...||||
Drinker1|Did you hear about the famine over in [[Hallowshire]]? They say the Inquisition's sittin' on a great stockpile of food, but hangin' anyone who talks about it.||||
Drinker2|Knew it were trouble when the Union moved in over there. Bloody knew it.||||
DrinkerP1|Where did you hear that rumour?||||
Drinker3|<<They look proud.>>##I read about it in the Royal Dispatch. Aye, I bloody well read it! Only learned my letters a few years ago, mind. My son still helps me with the technical words.||||
DrinkerP2|Who taught you to read?||||
Drinker4|Guild class, weren't it? Machinists rounded up a bunch of us illiterates in an old god-botherers' temple.||||
Drinker5|Never seen so many desks in one place. Gave us the month off work to learn too.||||
Drinker6|Grand thing, that was. My old folks never had letters, nor their old folks neither. If you'd asked my pa what a comma was, he'd ask if there was good eatin' on it.||||
DrinkerP3|Actually, I've recently been to Hallowshire.||||
Drinker7|You do look the travellin' type. Maybe you can confirm the news, then?||||
DrinkerP4|It's true. The Inquisition's laying waste to everything.||||
Drinker8|<<They nod sagely.>>##There you have it. Bloody power-hungry sods, they are.||||
Drinker9|We'd barely moved our kingdom next to Hallowshire before they followed suit.||||
Drinker10|Couldn't have anyone showing the locals what ((real)) magic looks like, could they?||||
DrinkerP5|I didn't hear anything about a stockpile.||||
Drinker11|<<They nod sagely.>>##I'll bet. Not worth anyone's neck to tell you, eh? That's the trouble with hangin' folks. Sooner or later you can't tell what anyone really thinks.||||
