NPC Name:|EndlessMines||||
ID|Английский|Французский|Немецкий|Испанский|Итальянский
lord1|Должен признаться, быть лордом — то еще проклятие!||||
lord2|Я владею правами на [[шахты]] на юго-западе. Между нами говоря, они стоят целое состояние.##Но несколько месяцев назад они вдруг перестали приносить доход! Будто все испарилось!||||
lordp1|Мне очень жаль это слышать.||||
lordp1alt|Я недавно был в этих шахтах.||||
lordp2|Меня не интересуют ваши буржуазные заботы.||||
lord3alt|А, вы знакомы с ними? Превосходно!||||
lord3|Я отправил [[пару слуг]] в шахты, чтобы выяснить, в чем дело.##Как и следовало ожидать, они оба сбежали — забрали плату и были таковы!||||
lord4|Каждый день, когда мои [[шахты]] не работают, я теряю золото!##Какой кошмар!||||
lordp3|Расскажите подробнее о [[шахтах]].||||
lordp4|Расскажите о себе.||||
lordself|Ах, простите меня. Я [[Ромулус Шаирон VII]], лорд и наследник [[Юго-Западного Участка]].##Земли, которыми я владею, богаты ресурсами. Лучшие в мире. Я нанимаю торговцев, которые продают их для меня. Даже корона покупает мои руды.||||
lordp5|Я был в шахтах; вот что я видел.||||
lordp6|Мне пора идти.||||
lord5|Мои шахты находятся на юго-западе.##Руды — ценный экспорт. Качественные рудные камни стоят бешеных денег в [[Королевстве Механизмов]].||||
lord6|Я, вероятно, владею этими шахтами еще с тех пор, когда вас и на свете не было! Хотя сам в их дела не особо вникаю. Подо мной есть люди, что занимались всеми этими мелочами на месте.##Дышащий, быть может, вы могли бы во всем этом разобраться за меня?||||
lord7|Ах, вы были бы так добры? Для меня это значило бы невероятно много.||||
lordp8|Я с радостью помогу.||||
lordp9|@@За плату, конечно!||||
lord8fail|&&<<Он хмурится>>##Вы получите оплату по завершении.||||
lord8succ|%%<<Он хмурится>>##Боюсь, я могу предложить лишь 20 золотых, сейчас я несколько стеснен в средствах...||||
lord9|Великолепно! У меня было предчувствие на ваш счет, едва мы заговорили.||||
lord10|Шахты находятся на юго-западной окраине региона.##Лифт, вероятно, не работает, но вы можете спуститься по цепочке мостов.||||
lord11|Вернитесь, когда разберетесь с этим фиаско, и я приготовлю достойную награду. Даю вам слово, дышащий!||||
lord12|<<Услышав половину вашей истории, он прерывает вас.>>##Вы только усложняете дело, веря всей этой болтовне про кристаллы. Правда проста: эти жадные шахтеры украли мои шахты!||||
lord13|Дышащий! Вернитесь и скажите им сразу же! Эти шахты принадлежат мне!##Вы будете щедро вознаграждены, клянусь честью!||||
