|1: English|2: French|3. German|4. Spanish|5. Italian
THIS_LANGUAGE|Английский|Французский|Немецкий|Испанский|Итальянский
AUTOMATIC_LANGUAGE|Автоматически|Автоматически|||
VERSION_NUM|Версия|Версия|||
START_GAME|Начать игру|Войти в Ад|||
OPTIONS|Настройки|Мучения|||
SCREEN_RESOLUTION|Разрешение экрана|Разрешение экрана|||
RESOLUTION|Разрешение|Разрешение|Разрешение(G)|Разрешение(S)|Разрешение(I)
CONTROLS|Управление|Шепоты|||
BRIGHTNESS|Яркость|Ослепление|||
LOOK_SENSITIVITY|Чувствительность мыши|Гибкость шеи|||
FOV|Поле зрения|Периферийное зрение|||
MUSIC|Громкость музыки|Мелодии|||
SFX|Громкость эффектов|Звуки|||
VOICEOVER|Громкость голоса|Громкость голоса|||
CAMERA_MOTION|Движение камеры|Качание камеры|||
VSYNC|VSync|Верт. Синх.|||
CAPFRAMERATE|Ограничить частоту кадров||||
INVERT_Y|Инвертировать ось Y|Перевернуть направление|||
FULL_SCREEN|Полный экран|Заполнить экран|||
WOBBLY_GFX|Волнистая 3D графика|Ретро волнистая 3D графика|||
WOBBLY_TEXTURES|Волнистые текстуры|Ретро волнистые текстуры|||
RETRO_RES|Ретро разрешение|Ретро разрешение|||
QUIT|Выйти|Обнять Пустоту|||
TITLE_SCREEN|Главный экран|Главный экран|||
CANCEL|Отмена|Отчаяние|||
ACCEPT|Принять|Искупить|||
BACK|Назад|Падение|||
NEXT|Далее|Верить|||
YES|Yes|Yes|||
NO|No|No|||
RETURN|Вернуться|Откат|||
DELETE|Удалить|Уничтожить|||
BINDING_X|Привязка '{0}'.|Привязка '{0}'.|||
WAITING_FOR_INPUT|Ожидание ввода...|Ожидание ввода...|||
PRESS_X_TO_CANCEL|Нажмите {0} для отмены|Нажмите {0} для отмены|||
RESET_ALL|Сбросить всё|Оплакать всё|||
RESET|Сбросить|Оплакать|||
MOVEMENT|Движение|Движение|||
ACTION|Действие|Действие|||
SELECTION|Выбор|Выбор|||
MENUS|Меню|Меню|||
KEYBOARD|Клавиатура|Клавиатура|||
CONTROLLER|Контроллер|Контроллер|||
MOVE|Двигаться|Двигаться|||
JUMP|Прыжок|Прыжок|||
SPRINT|Бег|Бег|||
DODGE|Уклонение|Уклонение|||
CROUCH|Присесть|Присесть|||
INTERACT|Взаимодействовать|Взаимодействовать|||
SPELL|Заклинание|Заклинание|||
ITEM|Предмет|Предмет|||
SCOPE|Прицел|Прицел|||
LANGUAGE|Язык|Язык Ада|||
HOLSTER_WEAPON|Убрать оружие|Убрать оружие|||
SWITCH_WEAPON|Сменить оружие|Сменить оружие|||
SWITCH_ITEM|Сменить предмет|Сменить предмет|||
