Dialogues:|Clockwork|||
ID|Английский|Голос пустоты|Французский|Немецкий
Ras1|<<Лицо, выглядывающее из-под спутанных волос, — живое воплощение недоумения и подозрения, которые вдруг сменяет неожиданная щербатая улыбка, полная изумления.>>|||
Ras2|Подойди-ка ближе. Не стану же я убивать первого собеседника за тридцать лет.##Дай-ка я ((взгляну)) на тебя.|||
Ras3|Ты ((настоящий)), да?##Не очередной энтропический выброс из [[сферы]]?|||
Ras4|Ну, ты точно не первый случай...|||
Ras5|Но ты ((выглядишь)) настоящим. Как и я, большую часть времени. Меня зовут [[Расмуссен]].|||
Ras6|Иногда - иногда годами - я сомневаюсь. Но давай предположим, что я настоящий.##Меня зовут [[Расмуссен]].|||
Ras7|Ну, ты выглядишь довольно настоящим. Да, добро пожаловать.##Меня зовут [[Расмуссен]].|||
Ras8|<<Когда он подходит ближе, ты видишь, что одежда Расмуссена, хоть и рваная, когда-то была роскошным набором старинных эмберианских мантий — точнее, множеством наборов, теперь, похоже, сшитых и залатанных в единый причудливый ансамбль.>>|||
Ras9|Ты действительно настоящий...##Я был так уверен, что мы все вымрем, прежде чем кто-то вернется.|||
Ras9R|Я думал, что мы все вымрем, прежде чем кто-то вернется.|||
Ras10|Это... ну, у этого места и названия-то нет. Просто... то место, где мы очутились.|||
Ras11|Мы, [[клан Расмуссен]]. Мои предки. Те, кто построил [[корабль]], — ты наверняка его заметил, прямо у нас над головой.|||
Ras12|О, уже почти сорок лет минуло, как умерли мои родители. Кажется, так — хотя за временем тут уследить непросто.##Мы здесь — семья, я хочу сказать, — с... ну, считай, с самого начала. Задолго до моего рождения.|||
Ras13|Ты знаешь! Ты знаешь об этом! Знание ещё живо. Да. Да, в самом деле.|||
Ras14|Наверное, мне стоило бы спросить, как ты меня нашёл, но у меня столько вопросов поинтереснее! Столько всего я слышал о мире снаружи...##Дед рассказывал, что вы все живёте внутри гигантских грибов: и что, от них не попахивает? А змеи у вас ещё водятся? Я всегда мечтал завести змею.|||
Ras15|Но где же мои манеры? Прости, они не были мне нужны вот уже тридцать лет. Мои вопросы подождут: у тебя ведь наверняка найдутся вопросы ко ((мне)).|||
Ras16|Я ведь пытался тебе объяснить... Это... было... есть наш дом. Хотя домом ему быть не следовало. Но Расмуссены, мы...|||
Ras17|С удовольствием! Ну, слушай. Моя прапрапрапрапрапрабабушка была инженером. Немыслимо одарённым.##Ещё в юности она уверилась, что надвигается какая-то страшная катастрофа, и построила корабль, чтобы увезти нас прочь, — новый двигатель, способный обогнать саму гибель.|||
Ras18|Это... это почти удалось. Мы спаслись. Но двигатель-то был чудом, а вот с управлением что-то разладилось, и вместо того чтобы улететь далеко-далеко, корабль рухнул, разбился — вот здесь.|||
Ras19|Мои предки растащили корабль на части и собрали заново, приспособив [[двигатель]] для защиты, а не для полёта.##Он поджаривал всякое крупное судно, что подходило близко, и довольно скоро чужаки перестали и пробовать. Должно быть, попросту боялись. До... ну. До сих пор.|||
Ras20|И с тех пор мы здесь. Только мы. А теперь... теперь я один. Один-единственный.##Последний Расмуссен.|||
Ras21|Я... всё надеялся, что кто-нибудь придёт, пока я ещё в силах поговорить.##Хотя тебе, думаю, любопытнее узнать побольше о двигателе.|||
Ras22|Ах, да. Да, думаю, я... думаю, этого следовало ожидать.|||
Ras23|Двигатель был — и есть — революционным. Он всё ещё работает, знаешь ли. Теперь только я за ним и хожу. Вот только уже не знаю, ради чего хожу ((теперь)).|||
Ras24|Так или иначе, двигатель работает. Он там, наверху, в [[обломках]] корабля, и без дела знай выбрасывает всё больше и больше энергии.##Но ты мог бы [[убрать его]], если захочешь. Ты ведь за этим и пришёл, верно?|||
Ras25|Не беспокойся. Я знаю, что ты пришел сюда не только чтобы слушать меня. |||
Ras26|[[Сфера]] там, наверху, но так просто до неё не добраться. Слишком много энергии — близко не подойдёшь.##Но отключить её можно: два [[выключателя]], в разных концах острова, поодаль друг от друга. Аварийные выключатели.|||
Ras27|Если ты сможешь переключить их оба, [[сфера]] отключится.##Ты сможешь вытащить ее, переместить.|||
Ras28|Я... да. Иди. Только... вернись еще раз, хорошо? Прежде чем уйти?|||
Ras29|Что, думаешь, я тебя остановлю? Думаешь, я хотя бы попытаться смогу?|||
Ras30|Да и что ему тут делать теперь? Меня защищать? От чего?|||
Ras31|А когда меня не станет, ему и защищать будет нечего.##Нет. Куда лучше, чтобы он вернулся к тому, ради чего был создан.|||
Ras32|Ну что ж, ты и сам уже знаешь, что к чему! Найдёшь второй — считай, дело в шляпе.|||
Ras33|<<Он улыбается, немного грустно.>> ## Я так и думал. Прости старику его маленькую слабость к болтовне, ладно? Просто хотелось услышать другой голос, хоть ненадолго.|||
Ras34|Теперь ступай наверх, в корабль. Сфера там.|||
Ras35|О, ты вернулся. Я ведь отвык от этакой говорильни, знаешь ли. Я уже об этом говорил? Говорил? Вот тебе и доказательство.##Так что тебе было нужно?|||
Ras36|С удовольствием! С удовольствием. У меня, можно сказать, было время поупражняться.##Ну, слушай. Семья Расмуссен. Семья, клан, корпорация — называй как хочешь, они были всем сразу: целая династия инженеров и корабелов.|||
Ras37|Моя прапрапрапрапрапрабабушка была инженером на редкость одарённым.##Говорят, ей снились машины: машины — и не только машины.|||
Ras38|Ещё в юности она увидела в этих снах нечто надвигающееся, нечто ужасное. [[Раскол]] — так мы это всегда называли.##Она увидела грядущую страшную гибель и потому взяла свои самые передовые проекты — те, что должны были раз и навсегда вознести Расмуссенов над соперниками, — и обратила чертежи в план спасательного корабля.|||
Ras39|Это... это почти удалось. Нет — удалось. Мы спаслись, мы выжили. Расмуссены построили двигатель и ковчег вокруг него и поднялись в воздух как раз вовремя — всей семьёй.##Но — так, по крайней мере, рассказывал мой дед, ведь говорить о том, что именно случилось, у нас не любили, — хотя двигатель и был чудом, с управлением что-то разладилось.|||
Ras40|Вместо того чтобы улететь далеко, корабль рухнул, разбился — вот здесь. Достаточно далеко, чтобы спастись от Раскола... и достаточно далеко, чтобы уже никогда не вернуться в мир.|||
Ras41|Мои предки догадывались, что в остальном мире что-то да уцелело. Изредка мы видели корабли, но никто не подходил близко, а вернуться нам было не на чем, и со временем... со временем их это даже стало устраивать.|||
Ras42|Да. А я всё ещё тут.|||
Ras43|Мы — они, мои предки, прости, — они для меня всегда будто... здесь, рядом. Они растащили корабль на части и собрали заново, приспособив двигатель для защиты, а не для полёта.##Со временем мы начали бояться самой мысли, что кто-то подойдёт близко, но никто так и не подходил. До... ну. До сих пор.|||
Ras44|И с тех пор мы здесь. Только мы.##Тот дед, что я помянул... других у меня и не было. У большинства людей, кажется, их больше. А теперь... теперь я один. Один-единственный. Последний Расмуссен.|||
