J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: parent|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: coin|13: glimmer|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
mainQuest|mainQuest|FactionInq|||||||||||||||||0|The Hunt for Vela Callose||||
10|mainQuest||Yes|||||||||||||||||You've been trapped in a cell for some time.||||
15|mainQuest||Yes||||TutorialStarted|||journal||||||||||After months of confinement in an Inquisition prison, you've been released on one condition: you must apprehend Vela Callose, the most dangerous person in the skyrealms. She is in the fortress nearby. ##You may seek further assistance from Inquisitor Ignavius en route. But first, you must obtain and equip a weapon...||||
20|mainQuest||Yes||||TutorialStarted|||||||||||||After months of confinement in an Inquisition prison, you've been released on one condition: you must apprehend Vela Callose, the most dangerous person in the skyrealms. She is in the fortress nearby. ##You may seek further assistance from Inquisitor Ignavius en route.||||
22|mainQuest||Yes|||||||||||||||||After months of confinement in an Inquisition prison, you've been released on one condition: you must apprehend Vela Callose, the most dangerous person in the skyrealms. She is in the fortress nearby. ##Inquisitor Ignavius has informed you of an alternate way into the fortress, accessed by a stairwell on the side, that may require less bloodshed.||||
30|mainQuest||Yes|||||||||||||||||You confronted Vela Callose - the dangerous mercenary leader - but failed to apprehend her as per your deal with the Inquisition. ##You should return to the High Confessor and seek penitence.||||
40|mainQuest||Yes||||LookingForMentor,SpokenToHighC_AfterVela,LookingForDarkStars|||||10|1|||||||Your search for Vela Callose continues. ##The High Confessor has tasked you with meeting Vela's former quartermaster in the [[Wobbly Noggin pub]] in Hallowshire, past the Union gatebridge.##To proceed, you will need to obtain a [[Union Passport]] from somewhere in Pwyll.||||
50|mainQuest||||||KnowAboutEmberian,KnowAboutDuchess,KnowAboutFrost|LookingForMentor ||||||||||||Jack Basalt - Vela's former quartermaster - has told you of three former Dark Star mercenaries who could aid you in the hunt for Vela. ##Track each of them down and recruit them to your cause.||||
60|mainQuest||||||FoundAllDarkStars,SpokenToHighC_AfterVela|LookingForDarkStars||||||||||||You have found and recruited a small crew of former Dark Star mercenaries. With their help, your hunt for Vela can begin in earnest. ##Report back to the High Confessor in the Blinding Light to plan your next course of action. ||||
70|mainQuest||||||NeedToActivateBL|||||||||||||The High Confessor has asked you to [[activate]] the Blinding Light Fortress. Return to the cockpit where you first confronted Vela and [[access the controls.]]||||
80|mainQuest||||||BlindingLightActivated|NeedToActivateBL||||||||||||You have activated the Blinding Light, which it turns out is actually a fully-functioning airship. ##Return to the High Confessor to plan your next move. ||||
90|mainQuest||||||CanUseCutter|||||||||||||The High Confessor has tasked you with venturing into the [[Underlands]] in your pursuit of Vela Callose. ##When you are ready, use the [[control panel]] of the small cutter vessel - stowed in the Blinding Light's inner dock - to instigate the expedition. ||||
