NPC Name:|Endless||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
p1|Прощай.||||
p0|До свидания.||||
pq1|Могу я задать тебе несколько вопросов?||||
pq2|Ладно, кажется, я понял.||||
pq3|Понял.||||
pq4|На самом деле, у меня есть другие вопросы.||||
pq5|Это всё, что я хотел узнать.||||
pVela|Что ты знаешь о Веле Каллос?||||
door1|<<Зачарованная маска мертвенно-неподвижна, но её стоические глаза следят за тобой, пока ты приближаешься.>> ##[[Академия Эрудитов]] закрыта для всех, кроме избранных. Предъяви рекомендацию — или уходи.||||
p6|Вот моя рекомендация. ||||
door2|<<Маска долго молчит. Как только ты собираешься что-то сказать, она отвечает.>> ##Рекомендация принята. Можешь войти.||||
p7|Как мне получить рекомендацию?||||
door3|Это шифр-заклинание не может отвечать на вопросы. Пожалуйста, направляйте запросы в письменном виде в Административный центр Академии Эрудитов в Риове. Среднее время ответа в настоящее время... ##<<Пауза.>> Семь лет, три месяца и два дня. ||||
p8|Неважно.||||
explorer1|<<Учёный, кажется, поглощён своим увеличительным стеклом. Он смотрит в него, что-то записывает в блокнот, затем снова смотрит. Он не смотрит на тебя.>> ##Путешественник, да? Извини - я занят делами Академии, и эта карта сама себя не сделает...||||
explorer2|<<Учёный, кажется, погружён в свои исследования.>> ##А, ты тот начинающий картограф, верно? Надеюсь, не ((заблудился))? ||||
p10|Могу ли я получить копию твоей карты?||||
explorer3|Слушай, у меня нет времени угождать каждому твоему желанию. Главному картографу это нужно срочно... ##<<Он поворачивается к тебе и вдруг замолкает — будто что-то осознав.>>||||
explorer4|На самом деле, знаешь что? Может быть, ты ((можешь)) получить копию. Если готов ради этого потрудиться.||||
p11|Я готов. Что тебе нужно?||||
explorer5|Мы создаём новый вид карты. Магическую карту, которая отслеживает перемещения этих островов и... ((исправляется)) сама.||||
explorer6|Настоящая работа связана с этим шифр-заклинанием, которое мы плетём вместе. Но мне нужно, чтобы кто-то отправился и закрепил заклинание на определённых ориентирах.||||
explorer7|Возьми этот [[Картографический Блокнот]]. Когда доберёшься до ориентира, [[экипируй его]] и [[используй]], чтобы создать шифр-карту. Карта появится в твоём журнале.##((Если ты получишь ))[[компас]]((, то сможешь видеть себя на карте.))||||
p12|Насчёт этих шифр-карт, которые я создаю...||||
explorer8|Когда доберёшься до ориентира, [[экипируй]] свой картографический блокнот и [[используй]] его, чтобы создать шифр-карту. Карта появится в твоём журнале.##((Если ты получишь ))[[компас]]((, то сможешь видеть себя на карте.))||||
explorer9|Над этой картой работают четыре учёных, включая меня. Вместе мы охватываем [[Хэллоушир]], [[Земли Вечных]], [[Королевство Механизмов]] и [[Пвилл]]. Тебе также стоит посетить моих коллег, чтобы узнать, какие ориентиры им нужны.||||
p13|Итак, какие ориентиры тебе нужны для этого региона?||||
explorer10|Хэллоушир - большое место. В центре нам понадобится [[Хэллоуская часовая башня]] в центре города. Затем на востоке нам понадобится [[самая большая ферма]].||||
explorer11|Далее, на западе есть [[руины, обвитые деревом]]. И, наконец, на юге найдите точку, где [[река разделяется на два рукава]]. ||||
p14|Так что, есть какая-то награда?||||
explorer12|Ну, ты получишь доступ к самой [[карте]]. Но, думаю, мы можем добавить несколько монет за каждую шифр-карту.||||
explorer13|И если ты сможешь нанести на карту [[регион Хэллоушир]], я подумаю, не дать ли тебе [[рекомендацию]] в [[Академию Эрудитов]]. Видишь её, летящую там, в небе? Попасть туда — настоящая привилегия, уж поверь.||||
p15|Ладно, понял.||||
explorer14|Ты уверен? Очень хорошо.||||
p16|На самом деле, я откажусь.||||
explorer15|Как знаешь.||||
p17|У меня есть шифр-карты для сдачи.||||
explorer16|Отлично. Да, они подойдут. Детализация впечатляет — учитывая твой... ограниченный опыт. ##Прошу, прими это в награду за труды.||||
explorer16b|Ах, весьма впечатляюще. Ты становишься настоящим подспорьем в нашем деле. ##Прошу, прими это в награду за труды.||||
explorer16c|Снова безупречные карты. От мастера твоего уровня иного я и не ждал. Не знаю, что бы мы без тебя делали.||||
explorer17|Кажется, ты собрал целую коллекцию шифр-карт, не так ли? Должен признать, я впечатлён. ##Возьми; это [[рекомендательное письмо]], которое откроет тебе вход в [[Академию Эрудитов]].||||
explorer18|Тебе стоит поговорить с [[Главным Картографом]]. Уверен, у него найдётся работа для такого, как ты.||||
p18|Что это за Академия, о которой ты говорил? ||||
explorer19|[[Академия Эрудитов]]? Не что иное, как самое уважаемое академическое учреждение в Союзе. Видишь её там, в небе? Это летающий остров, что странствует по Союзу Вероотступников туда, где нужен больше всего.||||
explorer20|Мы расквартированы на этих Островах Грёз уже около года. Там есть подъёмная платформа, что доставит тебя на остров, — но без [[рекомендации]] от учёного вроде меня внутрь не попасть.||||
p19|Можешь рассказать мне об этом острове?||||
explorer21|Этот архипелаг, известный как [[Острова Грёз]], лежит на дальних окраинах земель Союза Вероотступников. Большинство сочло бы это место настоящим ((захолустьем)), но есть в нём некое деревенское очарование, не находишь?||||
explorer22|Вокруг этих островов вращается небольшая [[нейронная звезда]] красноватого оттенка. Довольно странно, не правда ли? Совсем не похоже на двойные звёзды моей родной Венны, что в танце омывают землю золотыми лучами.||||
explorer23|Сейчас ты на центральном острове [[Хэллоушир]]. Вон там — <<он неопределённо машет рукой>> — главное поселение, [[Хэллоу Таун]]. Его основали беженцы после Мирового Разлома, около четырёхсот лет назад.||||
explorer27|Тогда люди поклонялись какому-то богу плодородия по имени... ((Пигут)), кажется. Но после Войны Богов Союз Вероотступников вмешался и положил всему этому конец. Теперь всё чинно и светски.||||
explorer28|...во всяком случае, так Союз хотел бы заставить тебя думать. По правде, в этих краях ещё немало тех, кто держится ((старых)) путей. ##И вот тебе совет: на твоём месте я бы почаще оглядывался, друг.||||
p20|Могу я задать тебе несколько вопросов?||||
p21|Это всё, что я хотел узнать.||||
explorer24|Конечно.||||
explorer25|С удовольствием.||||
explorer26|Ах, и похоже, ты завершил целый регион карты. Молодец; я добавлю немного монет за твои усилия.||||
expEndless1|<<Учёная прижала один глаз к своему увеличительному стеклу; её лицо искажено гримасой.>> ##Какое отвратительное место, а? Даже деревья едва цепляются за жизнь...||||
expEndless2|Не возьму в толк, почему меня отправили именно ((сюда)) рисовать эту проклятую карту. Зачем вообще наносить на карту эти острова? Академия что, собралась раскапывать могилы? Тут больше нечем заняться!||||
expEndless3|Боги, я бы хотела быть где угодно, только не здесь. Даже ((Слев)) подошёл бы. ||||
expEndless4|Я приметила в своё увеличительное стекло несколько любопытных мест, но покидать пост мне совсем не хочется. Здешняя живность какая-то... ((неприятная)).||||
expEndless5|Видишь ту кучу каменных зданий вон там? Это [[Сепулькр]], единственное поселение в Землях Вечных, которое находится на поверхности. Нам нужно разведать его, для начала. ||||
expEndless6|Затем, на южной оконечности острова есть [[мавзолей]], который подойдёт. И, наконец, на севере я заметила огромный чан бесформенной плоти. Думаю, это одна из тех [[Ферм Плоти]], о которых я слышала.||||
expEndless7|Ты в [[Землях Вечных]], богом забытом месте. Когда-то, ещё до Мирового Разлома, это было просто захолустье Небесных Земель — пока их монарх не запорол какое-то заклинание и не обратил всех в ходячих мертвецов.||||
expEndless8|Долгое время Вечные воевали с живыми; уверена, ты слышал старые стишки о [[Крестовых Походах Кадавров]]. И это были не просто бабкины байки — Вечные и впрямь ели людей. <<Она содрогается.>>||||
expEndless9|Но времена изменились. Вечные уверяют, что одумались и теперь едят только ((безмозглое мясо)), что бы это ни значило.||||
expEndless10|А поскольку Вечные так жалки, что их покинули даже собственные ((боги)), из них вышли удобные союзники для Союза Вероотступников.||||
expEndless11|И всё же, если нас тут терпят, это не значит, что место должно нам ((нравиться)). Первый, кого я здесь встретила, — клянусь, я слышала, как у него ((урчало в животе)). При первой же возможности вернусь в Академию.||||
mapHinter1|Ох, что это за шум вон там? Кажется, я ((заблудился)).||||
mapHinter2|Я купил карту этих [[Островов Грёз]] ещё в Риове, но она, похоже, устарела на десятилетия. <<Он ворчит.>> Вот беда с этими окраинными островами: каждые несколько десятилетий их сносит на новые места...||||
mapHinter3|Послушай моего совета, путешественник: если надумал странствовать, обзаведись точной [[картой!]]||||
p24|Ты знаешь, где я могу найти карту?||||
mapHinter4|Ну, я заметил, что [[Академия Эрудитов]] летает над [[Хэллоуширом]], к югу отсюда. Видишь её там, в небе? Она путешествует по всему Союзу Вероотступников, как я слышал... ||||
mapHinter5|Я встретил одного из их учёных в [[красной палатке]] в лесу под [[Деревней Пвилл]], хотя я видел их и в [[других местах]]. Хочешь верь, хочешь нет, они прямо сейчас работают над картой региона, только... она ещё не готова. ||||
mapHinter6|Всё же, я бы попробовал спросить их. Стоит попробовать, а?||||
p25|Куда ты пытаешься попасть?||||
mapHinter7|О, я пытаюсь добраться до [[Земель Вечных]]. Говорят, там люди не умирают, даже когда плоть сходит с костей!||||
mapHinter8|В детстве моя мама пугала меня рассказами о Крестовых Походах Кадавров; когда Вечные охотились на живых и пировали на их ещё тёплых телах. Это пугало меня до смерти, но всё же... я всегда мечтал попасть туда когда-нибудь.||||
mapHinter9|И у меня есть верные сведения, что они одумались. Едят только неразумное мясо и в ладах с Союзом Вероотступников. Вот я и сказал себе: чего мне терять?||||
mapHinter10|<<Он сглатывает.>> Ну, я думаю, они всё ещё могут съесть меня. ||||
mapHinterEnd1|После долгого и изнурительного пути я наконец-то ((здесь!)) Древнее королевство Вердант, превращённое жестоким шифром в землю ((вечных))...||||
mapHinterEnd2|Но, похоже, слухи правдивы; они действительно ((закрываются)), когда [[нейронная звезда]] ярче всего на небе.||||
mapHinterEnd3|Увы, я-то надеялся раздобыть зелье Уничтожения Волдырей. Ноги меня просто убивают...||||
mapHinterEnd4|Похоже, слухи правдивы - Вечные действительно ((закрываются)), когда [[нейронная звезда]] ярче всего на небе. ||||
expCwk|text5||||
wannabe1|<<Молодой человек возится с чашкой, ложкой и кучей других вещиц, которые, кажется, парят в воздухе.>> ##Проклятые маги доброго заклинания не распознали бы, даже если бы оно... хм? <<Предметы с грохотом падают на пол.>>||||
wannabe2|Ты тоже пытаешься попасть в Академию? Я бы и не пытался. Можешь зачаровать шелкопряда срать золотом — они всё равно тебя не заметят. Без рекомендации внутрь не пустят.||||
p31|Что это за Академия? ||||
wannabe3|Академия Эрудитов. Ты не слышал о ней? Ну, она прямо над нами - этот огромный кусок камня над головой.||||
